city,lat,lng,group
Lerma,19.2847,-99.5119,C
Texcoco,19.52,-98.88,C
Parral,26.9333,-105.6667,B
Tenancingo,18.9608,-99.5906,C
Tula de Allende,20.05,-99.35,B
Matehuala,23.6528,-100.6444,B
Ciudad Río Bravo,25.9861,-98.0889,B
San Luis de la Paz,21.2986,-100.5164,B
Playas de Rosarito,32.3422,-117.0561,B
San Felipe del Progreso,19.7125,-99.9511,C
Ixmiquilpan,20.4819,-99.2181,B
Tamazunchale,21.2667,-98.7833,A
Paraíso,18.3961,-93.2128,A
Rincón de Romos,22.2333,-102.3167,B
Ocotlán,20.3467,-102.7744,C
San José del Rincón Centro,19.6606,-100.1525,C
Santa Cruz Xoxocotlán,17.0264,-96.7333,B
Teziutlan,19.8178,-97.3667,C
Coatepec,19.4522,-96.9614,C
Tultepec,19.685,-99.1281,C
Agua Prieta,31.3258,-109.5489,B
Ciudad de Atlixco,18.9,-98.45,C
San Francisco,30.7841,-112.518,B
Jilotepec,19.9519,-99.5328,C
Salinas Victoria,25.9667,-100.3,B
Santa Rosa Jauregui,20.7418,-100.4473,B
Guasave,25.5655,-108.4718,B
Apaseo el Grande,20.5531,-100.6347,B
Ciudad Mante,22.7333,-98.95,A
Túxpam de Rodríguez Cano,20.95,-97.4,A
Acayucan,17.9422,-94.9103,A
La Piedad,20.3333,-102.0167,C
La Trinidad,15.9833,-91.8667,A
Apizaco,19.4167,-98.1333,C
Xicotepec de Juárez,20.3,-97.9667,C
Salina Cruz,16.1833,-95.2,A
Tecate,32.5722,-116.6403,C
Tala,20.6667,-103.7,C
Maravatío de Ocampo,19.8976,-100.45,C
San Andrés Cholula,19.05,-98.3,C
Pátzcuaro,19.5164,-101.6097,C
Ciudad Lerdo,25.55,-103.5167,B
Juventino Rosas,20.65,-101.0,C
Ciudad Lázaro Cárdenas,17.9561,-102.1922,A
Sahuayo de Morelos,20.05,-102.7333,C
Villa Victoria,19.4333,-100.0,C
Huebampo,26.7228,-109.4856,B
Cozumel,20.5104,-86.9493,A
Tecamachalco,18.8667,-97.7167,B
Tacámbaro de Codallos,19.2356,-101.4569,C
Cadereyta Jiménez,25.6,-100.0,C
Frontera,26.926,-101.449,B
Juchitán de Zaragoza,16.4333,-95.0167,A
Silao,20.9478,-101.4281,B
San Francisco del Rincón,21.0228,-101.86,B
Tejupilco,18.9058,-100.1528,A
Linares,24.8597,-99.5647,C
San Miguel de Allende,20.9142,-100.7436,B
