city,lat,lng,group
Ejutla de Crespo,16.5672,-96.7308,B
Pisaflores,21.1933,-99.005,A
Calnali,20.9,-98.5833,C
Tlahuelilpan,20.1297,-99.2286,B
San Felipe,31.0275,-114.8353,B
Ignacio de la Llave,18.6618,-95.9721,A
Peñamiller,21.0519,-99.815,B
Dzitbalché,20.3167,-90.05,A
San Juan Lalana,17.4667,-95.8833,A
Guadalupe Victoria,19.2833,-97.3333,C
Zinapécuaro,19.8603,-100.8275,C
Alfajayucan,20.4,-99.35,B
Salinas de Hidalgo,22.628,-101.7156,B
San Julián,21.0167,-102.1667,C
Nuevo San Juan Parangaricutiro,19.4,-102.1333,C
Chinampa de Gorostiza,21.3667,-97.7333,A
Jilotepec,19.6097,-96.9511,C
Jalpa de Méndez,18.1764,-93.0631,A
Epitacio Huerta,20.1348,-100.2934,C
Santa María Petapa,16.8167,-95.1167,A
Ciudad Guadalupe Victoria,24.4497,-104.1225,B
Zapotlán de Juárez,19.9667,-98.85,C
Juchique de Ferrer,19.8333,-96.7,A
Cosautlán,19.3333,-96.9833,C
Oteapan,18.0,-94.6667,A
Santa Anita,30.5118,-111.1234,B
Izamal,20.9314,-89.0178,A
Venustiano Carranza,16.3294,-92.5625,A
Santiago Tulantepec,20.0397,-98.3575,C
Ciudad de Huitzuco,18.3,-99.35,A
El Rosario,22.9922,-105.8572,A
Vicente Guerrero,23.75,-103.9833,B
Tlaltetela,19.3167,-96.9,C
Ixhuatlán del Sureste,18.017,-94.38,A
San Jacinto Amilpas,17.1,-96.7667,B
La Cruz,23.9214,-106.8919,B
Capilla de Guadalupe,20.65,-102.8,C
Tatahuicapan,18.25,-94.7667,A
Cosío,22.3667,-102.3,B
Cochoapa el Grande,17.2,-98.45,C
Madera,29.19,-108.1414,C
Ayutla de los Libres,16.9,-99.2167,A
Tanhuato de Guerrero,20.2819,-102.3319,C
Amatitán,20.835,-103.731,C
Erongarícuaro,19.5833,-101.7167,C
Chilcuautla,20.3333,-99.2333,B
Puréparo de Echaíz,19.9,-102.0167,C
Pichucalco,17.5086,-93.1178,A
Huasca de Ocampo,20.2028,-98.5758,C
San Pedro Tapanatepec,16.3667,-94.2,A
Zacualpan,18.7197,-99.78,C
Nopala de Villagran,20.2528,-99.6433,C
Huitzilan,19.9667,-97.6833,C
La Magdalena Tlaltelulco,19.2667,-98.2,C
El Arenal,20.2167,-98.9167,B
Zozocolco de Hidalgo,20.1333,-97.5833,A
Acala,16.5533,-92.8069,A
Talpa de Allende,20.3806,-104.8222,C
Calkiní,20.3667,-90.05,A
Tecuala,22.4004,-105.46,A
Coquimatlán,19.2038,-103.8086,A
Chemax,20.655,-87.9372,A
San Mateo del Mar,16.2,-94.9833,A
Huixcolotla,18.9147,-97.7736,B
Cerritos,22.4275,-100.2783,B
Tepetzintla,21.1658,-97.8511,C
Loreto,26.0128,-111.3433,B
Tlaxcala,19.3125,-98.24,C
Mineral del Monte,20.1333,-98.6667,C
Técpan de Galeana,17.25,-100.6833,A
Zontecomatlán de López y Fuentes,20.7667,-98.3333,C
Guachochi,26.8194,-107.07,C
Tlayacapan,18.9556,-98.9811,C
Chiconquiaco,19.75,-96.8167,C
Nacozari Viejo,30.3833,-109.6833,B
Churumuco de Morelos,18.6167,-101.6333,B
Santa Rosalía,27.3389,-112.2669,B
Tianguistengo,20.7278,-98.6289,C
San Andrés Timilpan,19.8667,-99.7333,C
El Barrio de la Soledad,16.8,-95.1167,A
Ciénega de Flores,25.95,-100.1833,C
Bochil,16.9833,-92.9167,A
Almoloya de Alquisiras,18.85,-99.85,C
Juan Aldama,24.291,-103.394,B
Grajales,19.25,-97.7833,C
Santiago Jocotepec,17.5833,-95.8833,A
Tepoztlán,18.9853,-99.0997,C
Charcas,23.1261,-101.1128,B
Santiago de Anaya,20.3844,-98.9647,B
Ezequiel Montes,20.6667,-99.8833,B
Mazamitla,19.9153,-103.0208,C
Polotitlán de la Ilustración,20.2253,-99.8154,C
Unión de Tula,19.957,-104.268,A
Tampamolón Corona,21.5667,-98.8167,A
San Pedro Pochutla,15.7476,-96.4666,A
Aldama,22.9194,-98.0736,C
Guerrero Negro,27.9589,-114.0561,B
Tapilula,17.25,-93.0167,A
Ixcatepec,21.2333,-98.0,A
Chalma,21.2167,-98.4,A
Ilamatlán,20.7833,-98.45,C
Ascensión,31.0928,-107.9964,B
Villa Unión,23.1883,-106.2158,B
Cadereyta,20.7,-99.8167,B
Soyaniquilpan,19.9892,-99.4361,C
Miahuatlán,18.2833,-97.2833,B
Villa Juárez,27.1278,-109.8426,B
Santa María Jalapa del Marqués,16.4401,-95.4434,B
Singuilucan,19.9675,-98.5178,C
Mazatlán Villa de Flores,18.0167,-96.9167,A
La Crucecita,15.7753,-96.1425,B
Tezontepec,19.8833,-98.8167,C
Nacozari de García,30.3736,-109.6864,B
Chapantongo,20.2833,-99.4,C
Valparaíso,22.7667,-103.5667,B
Ayutla,20.0333,-104.4333,C
Nuevo Ideal,24.8875,-105.0728,B
Vicente Guerrero,30.7264,-115.9903,B
Santa Cruz Amilpas,17.0667,-96.6833,B
Pueblo Nuevo,17.15,-92.9,C
Huazalingo,21.8156,-98.5078,A
Santiago Amoltepec,16.6167,-97.5,C
Isla Mujeres,21.2333,-86.7333,A
Maxcanú,20.5833,-89.9833,A
Xalpatlahuac,17.3333,-98.65,C
El Fuerte,26.4214,-108.62,B
Progreso,32.5842,-115.5842,B
Bacalar,18.6769,-88.3953,A
Villa Sola de Vega,16.5125,-96.9806,A
Eloxochitlán,18.5088,-96.9227,C
Santa Ana Maya,20.0,-101.0167,C
San Pedro Jicayán,16.4167,-97.9833,A
Santa Ana,30.5406,-111.1205,B
San Miguel Xoxtla,19.1833,-98.3,C
Mecatlán,20.2135,-97.6574,C
Emiliano Zapata,19.65,-98.55,C
Pantepec,17.1833,-93.05,C
Tzintzuntzán,19.6283,-101.5789,C
Juchipila,21.4103,-103.1175,B
Cuichapa,18.7667,-96.8667,A
Tempoal de Sánchez,21.5167,-98.3833,A
La Magdalena Chichicaspa,19.4181,-99.3228,C
Cocotitlán,19.2167,-98.85,C
Citlaltépec,21.3366,-97.8784,A
Yecuatla,19.8667,-96.7833,C
San Carlos Yautepec,16.5,-96.1,B
Jacala,21.0053,-99.1719,C
El Parral,16.3662,-93.0067,A
Pánuco de Coronado,24.5392,-104.3253,B
Ojuelos de Jalisco,21.8667,-101.5833,B
Jaltenango,15.8725,-92.725,A
San Fernando,16.8717,-93.2063,A
Abasolo,24.0559,-98.3733,C
San Juan del Rio del Centauro del Norte,24.7667,-104.4667,B
Chiautla de Tapia,18.3,-98.6039,A
José María Morelos,19.75,-88.7,A
Tolcayuca,19.95,-98.9167,C
San Nicolás de los Ranchos,19.0667,-98.4833,C
Ángel R. Cabada,18.5969,-95.4453,A
San Pedro Ixcatlán,18.15,-96.5,A
Mixtla de Altamirano,18.6,-97.0,C
Tlachichilco,20.6217,-98.1994,C
Tepetzintla,19.9667,-97.8333,C
Santa Cruz Itundujia,16.8667,-97.65,C
Jiquipilas,16.6677,-93.6505,A
Huandacareo,19.9906,-101.275,C
Espita,21.0128,-88.3047,A
Epazoyucan,20.0177,-98.6361,B
Olintla,20.1,-97.6833,C
Muna,20.48,-89.72,A
Sonoita,31.8614,-112.8544,B
Ajijic,20.3,-103.2833,C
Tlacolulan,19.6667,-97.0,C
Zaragoza,17.9531,-94.6414,A
Villa Purificación,19.8167,-104.7333,A
Amatenango del Valle,16.5167,-92.4,C
San Pablo Atlazalpan,19.2172,-98.909,C
Anenecuilco,18.7781,-98.985,A
González,22.8281,-98.4306,A
Temamatla,19.2028,-98.87,C
Pihuamo,18.95,-103.167,C
Zaragoza,28.4869,-100.9175,B
Jamapa,19.0411,-96.2411,A
Candelaria,18.1835,-91.0463,A
Mineral de Angangueo,19.6167,-100.2833,C
San Luis de La Loma,17.2714,-100.8911,A
La Trinitaria,16.1203,-92.0408,C
Joquicingo,19.0556,-99.5467,C
Tezoatlán de Segura y Luna,17.65,-97.8167,C
Saucillo,28.0333,-105.2833,B
Tixkokob,21.0022,-89.3936,A
Acanceh,20.8133,-89.4524,A
Álamos,27.0275,-108.94,B
Nacajuca,18.1692,-93.0197,A
Texcatepec,20.5833,-98.3667,C
Soyaló,16.9333,-92.9833,C
Villa Corzo,16.1848,-93.2677,A
Totolapan,18.9869,-98.9197,C
Emiliano Zapata,16.5392,-92.8967,A
Villa Unión,23.9667,-104.0333,B
Santa Bárbara,26.8133,-105.8203,B
Santa Catarina Ayotzingo,19.2647,-98.8975,C
Almoloya,19.7,-98.4,C
Escuintla,15.3333,-92.6333,A
Altamirano,16.7361,-92.0389,A
San Ignacio Cohuirimpo,27.05,-109.4167,B
Tenango del Aire,19.1575,-98.8581,C
San Juanito,27.97,-107.6003,C
Tierra Colorada,17.1656,-99.5264,A
Candelaria Loxicha,15.9167,-96.4833,A
Coacoatzintla,19.65,-96.9333,C
Las Veredas,23.1503,-109.7061,B
Santiago Tangamandapio,19.95,-102.4333,C
Teotlaltzingo,19.2333,-98.4833,C
Santiago Suchilquitongo,17.25,-96.8833,C
Cuatro Ciénegas de Carranza,26.9861,-102.0664,B
Molango,20.7844,-98.7175,C
Coroneo,20.1333,-100.3333,C
Canatlán,24.52,-104.78,B
Teocuitatlán de Corona,20.0167,-103.1833,C
Agua Blanca Iturbide,20.35,-98.35,C
Hecelchakán,20.1667,-90.1333,A
Jaltocan,21.1333,-98.5383,A
Chavinda,20.0167,-102.45,C
Minatitlán,19.3833,-104.05,A
Tlalixtac de Cabrera,17.0667,-96.65,B
Tetela del Volcán,18.8931,-98.7297,C
San Blas,21.5397,-105.2856,A
Akil,20.2656,-89.3478,A
Mexicaltzingo,19.2092,-99.5858,C
Cuapiaxtla de Madero,18.9167,-97.8167,C
La Misión,21.1,-99.1333,C
Chichihualco,17.655,-99.674,A
Ciudad Tula,23.0,-99.72,B
Parilla,17.9119,-92.9175,A
Benemérito,16.5158,-90.6533,A
Huejuquilla el Alto,22.6256,-103.8964,C
Pajacuarán,20.1178,-102.5667,C
San Pedro Huamelula,16.0167,-95.6667,B
Platón Sánchez,21.2833,-98.3667,A
China,25.7033,-99.2365,B
San Nicolas Buenos Aires,19.1667,-97.55,C
Tzucacab,20.0708,-89.0506,A
Anáhuac,28.48,-106.7442,B
Cuicatlan,17.8,-96.95,B
Coycoyan de las Flores,17.2667,-98.2667,C
Jilotlán de los Dolores,19.3719,-103.0193,A
Huichapan,20.3733,-99.6489,B
Cuencamé de Ceniceros,24.8667,-103.7,B
Tekit,20.5322,-89.3314,A
Etchojoa,26.8667,-109.65,B
Ciudad Cuauhtémoc,21.2833,-98.3667,A
Santo Tomás de los Plátanos,19.1817,-100.2589,A
Pueblo Viejo,19.179,-100.2984,A
San Gregorio Atzompa,19.0224,-98.3445,C
Tepetlán,19.6667,-96.8,C
Comala,19.3208,-103.7603,A
Tila,17.3006,-92.4259,A
Xicoténcatl,22.9958,-98.9447,A
Villa Aldama,19.65,-97.2333,C
Cuervos,32.6308,-114.8569,B
Lototla,20.8392,-98.7178,C
Chanal,16.6601,-92.2599,C
Tlahualilo de Zaragoza,26.1083,-103.4431,B
Seybaplaya,19.6394,-90.6883,A
Carácuaro,19.0167,-101.1261,A
Santa María Jacatepec,17.85,-96.2,A
San Juanito de Escobedo,20.8,-104.0,C
Halachó,20.4764,-90.0819,A
Zacualpan de Amilpas,18.7836,-98.7594,A
Ecatzingo,18.95,-98.75,C
San Agustín de las Juntas,17.0,-96.7167,B
Doctor Arroyo,23.6667,-100.1667,B
San Pablo Huixtepec,16.8167,-96.7833,B
Choix,26.7086,-108.3253,B
Mascota,20.5235,-104.7886,C
Tlahuiltepa,20.9233,-98.9497,C
Otumba,19.6989,-98.7572,C
Santa Isabel Cholula,19.0,-98.3667,C
Santa María Ajoloapan,19.9692,-99.0353,C
Santo Domingo Petapa,16.8167,-95.1333,A
Tecoh,20.7419,-89.4744,A
Ciudad Insurgentes,25.2617,-111.7744,B
Amatlán de los Reyes,18.8457,-96.9149,A
Coatetelco,18.7294,-99.3256,A
San Pedro Atocpan,19.2006,-99.0492,C
Ixtapa Zihuatanejo,17.6367,-101.5514,A
Chilón,17.1055,-92.2715,A
San Francisco Ixhuatan,16.35,-94.4833,A
Higuera de Zaragoza,25.95,-109.2833,B
Tepechitlán,21.6667,-103.3333,C
Lerma,19.8,-90.6,A
Tzitzio,19.5856,-100.9231,C
San Francisco Chimalpa,19.4419,-99.3419,C
Almoloya del Río,19.1586,-99.4886,C
La Junta,28.4778,-107.3317,B
Santa María del Tule,17.0465,-96.6363,B
Santa Cruz Atizapán,19.1756,-99.4886,C
San José de Gracia,22.15,-102.4167,B
Tepetitlan,20.1842,-99.3808,B
Tataltepec de Valdés,16.3064,-97.5461,A
Ayapango,19.1264,-98.8028,C
Santa María Xadani,16.3667,-95.0167,A
San Juan Ixcaquixtla,18.45,-97.8167,C
Hostotipaquillo,21.2167,-103.85,C
Lázaro Cárdenas,28.3897,-105.6236,B
Monte Escobedo,22.3,-103.5667,B
Teotitlán,18.1333,-97.0833,B
Pantelhó,17.0,-92.4833,A
Rayón,19.1481,-99.58,C
Vícam Pueblo,27.6422,-110.2897,B
El Espinal,16.4906,-95.0444,A
Ahumada,30.6186,-106.5122,B
Coahuitlán,20.2667,-97.7167,A
San Pedro Ixtlahuaca,17.05,-96.8167,C
Ayotoxco de Guerrero,20.1,-97.4,A
Bacobampo,26.9889,-109.65,B
Hueyotlipan,18.9,-97.85,C
San Pablo Villa de Mitla,16.917,-96.4,B
San Quintín,30.4837,-115.95,B
Esperanza,27.58,-109.9298,B
Nautla,20.2167,-96.7833,A
Altata,24.6333,-107.9167,B
Mazatán,29.0167,-110.1333,B
Punta Prieta,28.9289,-114.1556,B
