"","city","lat","lng","group"
"125","Las Maravillas",16.3667,-91.7333,"C"
"126","Iguala de la Independencia",18.345,-99.5383,"A"
"127","Kanasín",20.9344,-89.5578,"A"
"128","Cunduacán",18.0667,-93.1667,"A"
"129","San José del Cabo",23.0614,-109.7081,"B"
"130","Zinacantepec",19.2833,-99.7333,"C"
"131","Huejutla de Reyes",21.1333,-98.4167,"A"
"132","Cholula de Rivadabia",19.0633,-98.3064,"C"
"133","Apatzingan de la Constitucion",19.0886,-102.3508,"B"
"134","Orizaba",18.85,-97.1,"C"
"135","Zacatecas",22.7736,-102.5736,"B"
"136","San Pedro Garza García",25.6667,-100.3,"C"
"137","Ciudad Hidalgo",19.6917,-100.5536,"C"
"138","Navojoa",27.0813,-109.4461,"B"
"139","Chilapa de Álvarez",17.5944,-99.1778,"A"
"140","Tizayuca",19.8333,-98.9833,"C"
"141","Miramar",22.3375,-97.8694,"A"
"142","Matamoros",25.533,-103.25,"B"
"143","Heroica Guaymas",27.9183,-110.8989,"B"
"144","Tecomán",18.9089,-103.8747,"B"
"145","Temixco",18.85,-99.2333,"A"
"146","El Pueblito",20.5397,-100.4414,"B"
"147","Ciudad Guzmán",19.7,-103.4667,"B"
"148","Tlapacoyan",19.9617,-97.2108,"C"
"149","Las Delicias",28.2,-105.5,"B"
"150","Comitán",16.25,-92.1333,"C"
"151","Chilón",17.1167,-92.2833,"A"
"152","San Antonio Enchisi",19.7072,-99.7867,"C"
"153","Martínez de la Torre",20.0667,-97.05,"A"
"154","Temoaya",19.4686,-99.5933,"C"
"155","Lerma",19.2847,-99.5119,"C"
"156","Texcoco",19.52,-98.88,"C"
"157","Parral",26.9333,-105.6667,"B"
"158","Tenancingo",18.9608,-99.5906,"C"
"159","Tula de Allende",20.05,-99.35,"B"
"160","Matehuala",23.6528,-100.6444,"B"
"161","Ciudad Río Bravo",25.9861,-98.0889,"B"
"162","San Luis de la Paz",21.2986,-100.5164,"B"
"163","Playas de Rosarito",32.3422,-117.0561,NA
"164","San Felipe del Progreso",19.7125,-99.9511,"C"
"165","Ixmiquilpan",20.4819,-99.2181,"B"
"166","Tamazunchale",21.2667,-98.7833,"A"
"167","Paraíso",18.3961,-93.2128,"A"
"168","Rincón de Romos",22.2333,-102.3167,"B"
"169","Ocotlán",20.3467,-102.7744,"C"
"170","San José del Rincón Centro",19.6606,-100.1525,"C"
"171","Santa Cruz Xoxocotlán",17.0264,-96.7333,"B"
"172","Teziutlan",19.8178,-97.3667,"C"
"173","Coatepec",19.4522,-96.9614,"C"
"174","Tultepec",19.685,-99.1281,"C"
"175","Agua Prieta",31.3258,-109.5489,"B"
"176","Ciudad de Atlixco",18.9,-98.45,"C"
"177","San Francisco",30.7841,-112.518,"B"
"178","Jilotepec",19.9519,-99.5328,"C"
"179","Salinas Victoria",25.9667,-100.3,"B"
"180","Santa Rosa Jauregui",20.7418,-100.4473,"B"
"181","Guasave",25.5655,-108.4718,"B"
"182","Apaseo el Grande",20.5531,-100.6347,"B"
"183","Ciudad Mante",22.7333,-98.95,"A"
"184","Túxpam de Rodríguez Cano",20.95,-97.4,"A"
"185","Acayucan",17.9422,-94.9103,"A"
"186","La Piedad",20.3333,-102.0167,"C"
"187","La Trinidad",15.9833,-91.8667,"A"
"188","Apizaco",19.4167,-98.1333,"C"
"189","Xicotepec de Juárez",20.3,-97.9667,"C"
"190","Salina Cruz",16.1833,-95.2,"A"
"191","Tecate",32.5722,-116.6403,"C"
"192","Tala",20.6667,-103.7,"C"
"193","Maravatío de Ocampo",19.8976,-100.45,"C"
"194","San Andrés Cholula",19.05,-98.3,"C"
"195","Pátzcuaro",19.5164,-101.6097,"C"
"196","Ciudad Lerdo",25.55,-103.5167,"B"
"197","Juventino Rosas",20.65,-101,"C"
"198","Ciudad Lázaro Cárdenas",17.9561,-102.1922,"A"
"199","Sahuayo de Morelos",20.05,-102.7333,"C"
"200","Villa Victoria",19.4333,-100,"C"
"201","Huebampo",26.7228,-109.4856,NA
"202","Cozumel",20.5104,-86.9493,NA
"203","Tecamachalco",18.8667,-97.7167,"B"
"204","Tacámbaro de Codallos",19.2356,-101.4569,"C"
"205","Cadereyta Jiménez",25.6,-100,"C"
"206","Frontera",26.926,-101.449,"B"
"207","Juchitán de Zaragoza",16.4333,-95.0167,"A"
"208","Silao",20.9478,-101.4281,"B"
"209","San Francisco del Rincón",21.0228,-101.86,"B"
"210","Tejupilco",18.9058,-100.1528,"A"
"211","Linares",24.8597,-99.5647,"C"
"212","San Miguel de Allende",20.9142,-100.7436,"B"
"213","San Juan de los Lagos",21.2458,-102.3308,"C"
"214","Los Reyes de Salgado",19.5833,-102.4667,"C"
"215","Rioverde",21.93,-99.98,"B"
"216","Ixtaczoquitlán",18.85,-97.0667,"C"
"217","Purísima de Bustos",21.0333,-101.8667,"B"
"218","Jacona de Plancarte",19.9333,-102.3167,"C"
"219","Yuriria",20.2,-101.15,"C"
"220","Mineral de la Reforma",20.15,-98.4333,"C"
"221","Valle Hermoso",25.6736,-97.8144,"C"
"222","Zapotlanejo",20.6228,-103.0689,"C"
"223","Cabo San Lucas",22.8897,-109.9156,"B"
"224","Ixtlahuacán de los Membrillos",20.35,-103.1833,"C"
"225","La Barca",20.2833,-102.5667,"C"
"226","Tepotzotlán",19.7161,-99.2236,"C"
"227","Santa Catarina Otzolotepec",18.5667,-97.25,"C"
"228","Heroica Caborca",30.7167,-112.15,"B"
"229","Zihuatanejo",17.6444,-101.5511,"A"
"230","Dolores Hidalgo Cuna de la Independencia Nacional",21.1516,-100.9369,"B"
"231","San Mateo Atenco",19.2667,-99.5333,"C"
"232","Ramos Arizpe",25.55,-100.9667,"B"
"233","Ocoyoacac",19.2739,-99.4606,"C"
"234","Torreón",25.5419,-103.4083,"B"
"235","Jocotitlán",19.7072,-99.7867,"C"
"236","Jiquílpan de Juárez",19.9942,-102.7172,"C"
"237","Autlán de Navarro",19.7667,-104.3667,"A"
"238","Coyula",20.6586,-103.2264,"C"
"239","Sabinas",27.9167,-101.3,"B"
"240","Santo Domingo Tehuantepec",16.3244,-95.2389,"A"
"241","Apaseo el Alto",20.45,-100.6167,"C"
"242","Santiago Tianguistenco",19.1797,-99.4706,"C"
"243","Misantla",19.9333,-96.85,"A"
"244","Guamúchil",25.4639,-108.0794,"B"
"245","Teoloyucan",19.7442,-99.1811,"C"
"246","Puerto Peñasco",31.3167,-113.5369,"B"
"247","Cortazar",20.4828,-100.9611,"B"
"248","Valle de Bravo",19.1925,-100.1306,"C"
"249","Huatusco",19.1489,-96.9661,"C"
"250","Atotonilco el Alto",20.5333,-102.5,"C"
"251","Huehuetoca",19.8342,-99.2033,"C"
"252","Altamira",22.3375,-97.8694,"A"
"253","Huauchinango",20.1767,-98.0528,"C"
"254","Balancán",17.8,-91.5333,"A"
"255","Temascalcingo",19.9147,-100.0036,"C"
"256","Zempoala",19.9153,-98.6689,"C"
"257","Jerez de García Salinas",22.6481,-102.9903,"B"
"258","Santiago Tuxtla",18.4653,-95.3025,"A"
"259","Cosamaloapan",18.3667,-95.8,"A"
"260","Alvarado",18.7811,-95.7572,"A"
"261","Tezonapa",18.6,-96.6833,"A"
"262","Acambay",19.9539,-99.8431,"C"
"263","Acámbaro",20.0361,-100.7314,"C"
"264","Uman",20.8833,-89.75,"A"
"265","Chiapa de Corzo",16.7069,-93.0139,"A"
"266","Nuevo Casas Grandes",30.4167,-107.9167,"B"
"267","Oxchuc",16.7833,-92.2833,"C"
"268","Tequisquiapan",20.5206,-99.8958,"B"
"269","Ixhuatlán de Madero",20.6833,-98.0167,"A"
"270","Encarnación de Díaz",21.5167,-102.2333,"B"
"271","Pinotepa",16.3412,-98.0537,"A"
"272","Simojovel de Allende",17.15,-92.7167,"A"
"273","San José Villa de Allende",19.3747,-100.1475,"C"
"274","Tizimín",21.1425,-88.1647,"A"
"275","Tlacotepec",18.6882,-97.6489,"B"
"276","Taxco de Alarcón",18.5564,-99.605,"C"
"277","Uriangato",20.1333,-101.1667,"C"
"278","Acatzingo",18.9817,-97.7822,"C"
"279","Huamantla",19.3133,-97.9228,"C"
"280","Palenque",17.4333,-91.8,"A"
"281","Umán",20.8833,-89.75,"A"
"282","Zumpango",19.7969,-99.0992,"C"
"283","Francisco I. Madero",25.7753,-103.2731,"B"
"284","Tepeapulco",19.7856,-98.5517,"C"
"285","San Pedro",25.7578,-102.9831,"B"
"286","Santa Lucía del Camino",17.0667,-96.7,"B"
"287","Catemaco",18.4167,-95.1167,"A"
"288","Cintalapa de Figueroa",16.6978,-93.7203,"A"
"289","Valladolid",20.6894,-88.2017,"A"
"290","Jiménez",27.13,-104.9067,"B"
"291","San Pedro Mixtepec",16,-97.1169,"A"
"292","Colonia del Sol",22.9125,-109.9208,"B"
"293","Cuetzalan",20.0333,-97.5167,"C"
"294","Ocosingo",16.9072,-92.0961,"A"
"295","Pabellón de Arteaga",22.15,-102.2667,"B"
"296","Buena Vista Tomatlán",19.2102,-102.5869,"B"
